count,account
23011,\ADMINISTRATOR
11843,\ADMIN
2827,\USER
595,\user1
551,\SUPPORT
485,\MANAGER
452,\HP
452,domain\administrator
450,\ADMIN1
440,\PC
433,domain\Administrator
403,\OLIVER
400,\LIAM
399,\ADMINISTRADOR
358,\TEST
335,\SCANNER
332,\AZUREUSER
244,\USERAZURE
222,\VMADMIN
204,\ADMINISTRATEUR
198,\SCAN
169,\USUARIO
162,\TESTUSER
159,\RECEPTION
157,\BACKUP
147,\USER1
145,\ACCOUNTS
145,\?Administrator
137,\REMOTE
137,\ROOT
136,\INFO
130,\JACK
126,\TEMP
124,\SCANS
122,\LOCALADMIN
118,\TEST1
118,\JOHN
116,\administrator
116,\SALES
116,\ADMINISTRATÖR
115,\SERVER
113,\admin
110,\OFFICE
109,\BEHEERDER
108,\DEMO
107,\DAVID
106,\ADMINUSER
105,\user
101,\ADMINISTRATORS
101,\TRAINING
100,rdp-vm-gateway\administrator
100,rdp-vm-gateway\administrador
100,rdp-vm-gateway\administrateur
99,\USER2
99,\IT
98,\ADMIN01
98,\OWNER
92,\STUDENT
92,\SQLADMIN
91,\ACCOUNTING
91,\SQL
90,\XEROX
89,\FRONTDESK
87,\MIKE
85,\scan
85,\test
85,\scanner
85,\REMOTO
85,\FTP
85,\SHIPPING
85,\AMMINISTRATORE
84,\OPERATOR
84,\WAREHOUSE
84,\STAFF
83,\pos
82,\FTPUSER
82,\ADMINISTRATORI
82,\ADMINISTRATZAILEA
82,\ADMINISZTRÁTOR
81,\USER3
81,\DANIEL
81,\RIARTHÓIR
81,\STJÓRNANDI
81,\АДМИНИСТРАТОР
80,\ΔΙΑΧΕΙΡΙΣΤΉΣ
80,\ADMINISTRATORIUS
80,\AMMINISTRATUR
80,\SPRÁVCA
80,\SKRBNIK
80,\JÄRJESTELMÄNVALVOJA
80,\SPRÁVCE
80,\ADMINISTRAATOR
79,\PETER
79,\ADM
79,\ALEX
79,\MARKETING
79,\AUDITOR
79,\CHRIS
78,\HELPDESK
78,\SYSADMIN
77,\POSTGRES
76,\SUPORTE
76,\AUDIT
76,\VPN
75,\ACCOUNT
75,\MARIA
74,\AZUREADMIN
74,\1
73,\LOCALUSER
72,\AZADMIN
72,\pc
72,\PC1
72,\CARLOS
71,\ADMIN123
71,\INSTALL
71,\MASTER
70,\AZUSER
70,\FAX
70,\PRINTER
70,\MARK
70,\SOPORTE
69,\manager
69,\ASPNET
69,\CONFERENCE
68,\administrador
67,\POS
67,\COPIER
66,\WINUSER
66,\TECH
66,\TONY
66,\USER01
66,\ITADMIN
66,\KEVIN
65,\AZURE
65,\server
65,\sysadmin
65,\PC01
65,\DELL
65,\MICHAEL
64,\it
64,\home
64,\TEST2
64,\usuario
64,\escaner
64,\office
64,\temp
64,\student
64,\prueba
64,\account
64,\GUEST
64,\LAB
64,\SHARE
64,\SANDRA
63,\USER4
63,\ANDREA
63,\ANDRE
63,\VENTAS
62,\KAREN
62,\CONTABILIDAD
62,RDP-VM-GATEWAY\rdp
61,\INTERN
61,\RICOH
61,\JOSE
61,\BACKUPEXEC
60,\COMPRAS
59,\TOM
59,\FINANCE
59,\ALI
59,\STEVE
59,\MICHELLE
58,\ADMINISTRACION
58,\ADMINS
58,\SHOP
58,\PEDRO
58,\PATRICIA
57,\USER02
57,\SAM
57,\MARTIN
57,\RDP
57,\AMANDA
57,\ANGELA
57,\SAP
57,\ANA
56,\oficina
56,\servidor
56,\Asus
56,\Dell
56,\xerox
